month,mean_rainfall_mm,pixel_count
2007.01,67.65,1226
2007.02,63.49,1226
2007.03,79.54,1226
2007.04,92.9,1226
2007.05,66.51,1226
2007.06,125.29,1226
2007.07,257.77,1226
2007.08,136.72,1226
2007.09,169.39,1226
2007.10,75.13,1226
2007.11,24.48,1226
2007.12,53.62,1226
2008.01,93.09,1226
2008.02,47.73,1226
2008.03,46.22,1226
2008.04,72.04,1226
2008.05,101.21,1226
2008.06,289.55,1226
2008.07,158.55,1226
2008.08,184.3,1226
2008.09,71.5,1226
2008.10,44.99,1226
2008.11,70.77,1226
2008.12,27.9,1226
2009.01,65.97,1226
2009.02,111.85,1226
2009.03,89.69,1226
2009.04,93.15,1226
2009.05,69.69,1226
2009.06,209.76,1226
2009.07,283.71,1226
2009.08,221.97,1226
2009.09,80.48,1226
2009.10,18.03,1226
2009.11,102.64,1226
2009.12,61.26,1226
2010.01,49.97,1226
2010.02,117.16,1226
2010.03,152.09,1226
2010.04,117.87,1226
2010.05,93.8,1226
2010.06,103.2,1226
2010.07,301.45,1226
2010.08,141.03,1226
2010.09,144.75,1226
2010.10,55.16,1226
2010.11,22.86,1226
2010.12,44.75,1226
2011.01,30.25,1226
2011.02,29.7,1226
2011.03,39.98,1226
2011.04,41.74,1226
2011.05,52.43,1226
2011.06,408.52,1226
2011.07,202.29,1226
2011.08,252.23,1226
2011.09,43.94,1226
2011.10,37.7,1226
2011.11,39.86,1226
2011.12,32.75,1226
2012.01,59.91,1226
2012.02,89.38,1226
2012.03,118.65,1226
2012.04,81.37,1226
2012.05,100.21,1226
2012.06,135.9,1226
2012.07,165.56,1226
2012.08,276.15,1226
2012.09,109.26,1226
2012.10,33.13,1226
2012.11,75.09,1226
2012.12,90.66,1226
2013.01,41.77,1226
2013.02,79.31,1226
2013.03,86.2,1226
2013.04,68.19,1226
2013.05,121.55,1226
2013.06,204.83,1226
2013.07,106.72,1226
2013.08,160.05,1226
2013.09,93.98,1226
2013.10,119.65,1226
2013.11,29.57,1226
2013.12,59.01,1226
2014.01,32.23,1226
2014.02,112.18,1226
2014.03,81.17,1226
2014.04,104.26,1226
2014.05,110.88,1226
2014.06,154.71,1226
2014.07,284.06,1226
2014.08,230.12,1226
2014.09,123.91,1226
2014.10,34.89,1226
2014.11,54.92,1226
2014.12,21.4,1226
2015.01,69.21,1226
2015.02,104.33,1226
2015.03,88.38,1226
2015.04,107.31,1226
2015.05,177.17,1226
2015.06,455.3,1226
2015.07,177.57,1226
2015.08,147.61,1226
2015.09,113.23,1226
2015.10,48.27,1226
2015.11,137.71,1226
2015.12,84.77,1226
