name,city,district,industry,industry_cn,credit_code,longitude,latitude,outlet_name,target_water,source_url,notes
浙江美欣达纺织印染科技有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,湖州市2020年重点排污单位名录(水环境类);信用代码与坐标待排污许可证平台补录
湖州三友印染有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江大港印染有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州金牛纺织印染实业有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州华欣印染有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江龙威印染有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江钱江纺织印染有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州复兴纺织印染有限公司,湖州市,,dyeing,印染,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江华源颜料股份有限公司,湖州市,,chemical,化工/颜料,,,,,,https://www.h2o-china.com/news/306121.html,同上
漂莱特(中国)有限公司,湖州市,,chemical,化工,,,,,,https://www.h2o-china.com/news/306121.html,同上
英格瓷(浙江)锆业有限公司,湖州市,,chemical,化工/锆制品,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江拜克生物科技有限公司,湖州市,,chemical,生物科技/化工,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江拓普药业股份有限公司,湖州市,,pharma,制药,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江浙北药业有限公司,湖州市,,pharma,制药,,,,,,https://www.h2o-china.com/news/306121.html,同上
德清县上峰纸业有限公司,湖州市,德清县,paper,造纸,,,,,,https://www.h2o-china.com/news/306121.html,同上
德清县东港纸业有限公司,湖州市,德清县,paper,造纸,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州市韶春纸业有限公司,湖州市,,paper,造纸,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州新天纸业有限公司,湖州市,,paper,造纸,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州市水务集团有限公司(市北污水处理厂),湖州市,,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州市水务集团有限公司(碧浪污水处理厂),湖州市,,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
浙江湖州金洁水务股份有限公司,湖州市,,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州中环水务有限责任公司,湖州市,,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州诚信污水处理有限公司,湖州市,,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州南浔和孚污水处理有限公司,湖州市,南浔区,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
湖州双林水质净化有限公司,湖州市,,wwtp,污水处理厂,,,,,,https://www.h2o-china.com/news/306121.html,同上
爱恩邦德(无锡)技术有限公司,无锡市,锡山区,electroplating,金属表面处理,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,锡山区2024Q3双随机抽查名单(重点排污单位);信用代码与坐标待补录
无锡市永平热镀锌有限公司,无锡市,锡山区,electroplating,热镀锌/金属表面处理,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
伟成(无锡)金属有限公司,无锡市,锡山区,electroplating,金属表面处理,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡达美喷涂有限公司,无锡市,锡山区,electroplating,喷涂/表面处理,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡市长宏漂染有限公司,无锡市,锡山区,dyeing,漂染,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡市东北塘宏良染色厂,无锡市,锡山区,dyeing,染色,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡苏纺纺织科技有限公司,无锡市,锡山区,dyeing,纺织染整,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡科捷化学有限公司,无锡市,锡山区,chemical,化工,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡先进化药化工有限公司,无锡市,锡山区,pharma,化学制药,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡中发水务投资有限公司(东港污水处理厂),无锡市,锡山区,wwtp,污水处理厂,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡中发水务投资有限公司(锡北污水处理厂),无锡市,锡山区,wwtp,污水处理厂,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
无锡市锡山中荷水务有限公司,无锡市,锡山区,wwtp,污水处理厂,,,,,,https://www.jsxishan.gov.cn/doc/2024/10/08/4505619.shtml,同上
