ts,epoch,temperature,ph,do,conductivity,turbidity,codmn,ammonia_n,tp,tn,chla,algae_density,quality_class
2021-06-17T08:00:00+08:00,1623888000,27.1,6.69,3.95,272.3,56.0,3.29,0.13,0.076,3.05,,,Ⅳ
2021-06-17T12:00:00+08:00,1623902400,27.3,6.74,4.77,247.3,65.5,3.26,0.075,0.076,2.99,,,Ⅳ
2021-06-17T16:00:00+08:00,1623916800,27.4,6.77,5.02,247.9,78.6,2.9,0.087,0.087,3.27,,,Ⅲ
2021-06-17T20:00:00+08:00,1623931200,27.4,6.73,5.27,235.5,54.2,3.06,0.047,0.069,3.63,,,Ⅲ
2021-06-18T00:00:00+08:00,1623945600,27.4,6.74,5.23,231.0,57.2,2.92,0.046,0.069,3.58,,,Ⅲ
2021-06-18T04:00:00+08:00,1623960000,27.4,6.63,2.94,302.3,57.4,3.61,0.13,0.084,3.49,,,Ⅴ
2021-06-18T08:00:00+08:00,1623974400,27.3,6.67,4.83,231.8,59.1,2.95,0.038,0.068,3.33,,,Ⅳ
2021-06-18T12:00:00+08:00,1623988800,27.1,6.71,4.83,232.5,101.7,3.22,0.073,0.09,3.67,,,Ⅳ
2021-06-18T16:00:00+08:00,1624003200,27.2,6.64,4.71,220.0,53.4,2.87,0.046,0.071,3.27,,,Ⅳ
2021-06-18T20:00:00+08:00,1624017600,26.9,6.69,4.53,220.8,69.7,3.04,0.064,0.084,3.27,,,Ⅳ
2021-06-19T00:00:00+08:00,1624032000,26.7,6.6,3.17,255.7,56.2,3.27,0.105,0.083,3.18,,,Ⅳ
2021-06-19T04:00:00+08:00,1624046400,26.3,6.61,2.21,243.0,61.4,3.32,0.046,0.084,2.93,,,Ⅴ
2021-06-19T08:00:00+08:00,1624060800,26.0,6.64,3.29,228.9,60.0,2.61,0.07,0.077,2.85,,,Ⅳ
2021-06-19T12:00:00+08:00,1624075200,25.8,6.69,3.72,225.0,52.4,2.56,0.061,0.069,2.73,,,Ⅳ
2021-06-19T16:00:00+08:00,1624089600,25.5,6.73,3.78,235.0,67.7,2.66,0.173,0.084,3.04,,,Ⅳ
2021-06-19T20:00:00+08:00,1624104000,25.0,6.77,4.54,227.4,87.7,2.71,0.213,0.085,3.31,,,Ⅳ
2021-06-20T04:00:00+08:00,1624132800,24.4,6.78,4.58,235.4,137.2,3.25,0.276,0.118,3.87,,,Ⅳ
2021-06-20T08:00:00+08:00,1624147200,24.3,6.75,4.59,229.5,118.1,3.01,0.233,0.103,3.77,,,Ⅳ
2021-06-20T12:00:00+08:00,1624161600,24.5,6.75,4.73,217.7,95.0,2.8,0.209,0.1,3.7,,,Ⅳ
2021-07-02T08:00:00+08:00,1625184000,27.0,7.06,5.97,226.2,60.2,2.56,0.066,0.08,3.31,,,Ⅲ
2021-07-02T12:00:00+08:00,1625198400,27.1,7.07,5.91,221.1,66.5,2.62,0.068,0.082,3.3,,,Ⅲ
2021-07-02T16:00:00+08:00,1625212800,27.1,7.06,6.95,228.5,57.9,2.51,0.072,0.085,3.3,,,Ⅱ
2021-07-02T20:00:00+08:00,1625227200,27.0,6.97,5.16,244.3,56.5,2.62,0.071,0.098,3.4,,,Ⅲ
2021-07-03T00:00:00+08:00,1625241600,27.0,6.98,5.14,248.4,57.6,2.71,0.072,0.09,3.51,,,Ⅲ
2021-07-03T04:00:00+08:00,1625256000,27.0,7.08,5.1,276.7,81.6,2.78,0.074,0.09,3.49,,,Ⅲ
2021-07-03T08:00:00+08:00,1625270400,27.0,7.21,4.2,307.7,173.0,3.93,0.177,0.147,3.81,,,Ⅳ
2021-07-03T12:00:00+08:00,1625284800,27.5,7.2,3.75,308.9,173.0,3.35,0.152,0.139,3.81,,,Ⅳ
2021-07-03T16:00:00+08:00,1625299200,27.4,7.15,3.58,311.6,157.2,3.81,0.169,0.154,4.03,,,Ⅳ
2021-07-03T20:00:00+08:00,1625313600,27.3,7.12,3.57,310.0,139.7,3.55,0.151,0.145,3.8,,,Ⅳ
2021-07-04T00:00:00+08:00,1625328000,27.1,7.11,4.2,296.2,124.3,3.13,0.145,0.119,3.51,,,Ⅳ
2021-07-04T04:00:00+08:00,1625342400,26.9,7.05,3.42,287.2,85.6,3.59,0.131,0.107,3.36,,,Ⅳ
2021-07-04T08:00:00+08:00,1625356800,26.9,7.09,3.78,316.6,117.3,3.5,0.168,0.104,3.24,,,Ⅳ
2021-07-04T12:00:00+08:00,1625371200,26.9,7.06,4.31,283.7,100.7,3.59,0.132,0.117,3.5,,,Ⅳ
2021-07-04T16:00:00+08:00,1625385600,26.7,7.05,5.43,220.7,64.5,2.47,0.072,0.089,2.92,,,Ⅲ
2021-07-04T20:00:00+08:00,1625400000,26.6,7.0,5.18,217.0,55.9,2.53,0.064,0.078,2.8,,,Ⅲ
2021-07-05T00:00:00+08:00,1625414400,26.5,6.97,4.76,219.9,53.2,2.17,0.058,0.076,2.76,,,Ⅳ
2021-07-05T04:00:00+08:00,1625428800,26.5,7.0,5.03,218.2,69.5,2.37,0.065,0.079,2.78,,,Ⅲ
2021-07-05T08:00:00+08:00,1625443200,26.5,7.01,5.31,211.5,63.6,2.37,0.067,0.083,2.72,,,Ⅲ
2021-07-05T12:00:00+08:00,1625457600,27.4,6.98,5.5,204.2,53.4,2.65,0.064,0.086,2.76,,,Ⅲ
2021-07-05T16:00:00+08:00,1625472000,27.5,6.94,5.0,206.8,55.8,2.54,0.076,0.077,2.78,,,Ⅳ
2021-07-05T20:00:00+08:00,1625486400,27.4,6.84,3.98,218.5,40.0,2.6,0.065,0.076,2.77,,,Ⅳ
2021-07-06T00:00:00+08:00,1625500800,27.2,6.84,3.82,225.4,39.9,2.73,0.059,0.074,2.84,,,Ⅳ
2021-07-06T04:00:00+08:00,1625515200,27.1,6.92,4.77,205.4,48.0,2.44,0.059,0.076,2.82,,,Ⅳ
2021-07-06T08:00:00+08:00,1625529600,27.4,6.95,4.97,206.3,49.4,2.33,0.059,0.072,2.79,,,Ⅳ
2021-07-06T12:00:00+08:00,1625544000,28.4,6.98,3.74,305.6,65.0,3.12,0.294,0.096,3.23,,,Ⅳ
2021-07-06T16:00:00+08:00,1625558400,29.1,6.99,2.6,389.0,69.2,3.81,0.554,0.122,3.53,,,Ⅴ
2021-07-07T04:00:00+08:00,1625601600,27.7,6.86,4.72,194.5,56.7,2.67,0.078,0.089,3.22,,,Ⅳ
2021-07-07T08:00:00+08:00,1625616000,27.7,6.85,4.81,194.1,55.2,2.66,0.078,0.082,3.22,,,Ⅳ
2021-07-07T12:00:00+08:00,1625630400,28.6,6.87,4.91,194.0,67.1,2.46,0.081,0.091,3.39,,,Ⅳ
2021-07-25T16:00:00+08:00,1627200000,24.6,7.45,8.22,0.4,490.3,0.25,0.088,0.047,2.76,,,Ⅱ
2021-07-26T15:34:00+08:00,1627284840,,,,,,,,,,,,
2021-07-26T18:34:00+08:00,1627295640,,,,,,,,,,,,
2021-07-26T21:35:00+08:00,1627306500,,,,,,,,,,,,
2021-07-27T09:37:00+08:00,1627349820,,,,,,,,,,,,
2021-07-27T12:37:00+08:00,1627360620,,,,,,,,,,,,
2021-07-27T13:08:00+08:00,1627362480,,,,,,,,,,,,
2021-07-27T16:09:00+08:00,1627373340,,,,,,,,,,,,
2021-07-27T19:20:00+08:00,1627384800,,,,,,,,,,,,
2021-07-27T22:21:00+08:00,1627395660,,,,,,,,,,,,
2021-07-28T10:22:00+08:00,1627438920,,,,,,,,,,,,
2021-07-28T13:30:00+08:00,1627450200,,,,,,,,,,,,
2021-07-28T16:30:00+08:00,1627461000,,,,,,,,,,,,
2021-07-28T19:43:00+08:00,1627472580,,,,,,,,,,,,
2021-07-28T22:43:00+08:00,1627483380,,,,,,,,,,,,
2021-07-29T10:45:00+08:00,1627526700,,,,,,,,,,,,
2021-07-29T13:49:00+08:00,1627537740,,,,,,,,,,,,
2021-07-29T16:50:00+08:00,1627548600,,,,,,,,,,,,
2021-07-29T19:50:00+08:00,1627559400,,,,,,,,,,,,
2021-07-29T22:50:00+08:00,1627570200,,,,,,,,,,,,
2021-07-30T10:52:00+08:00,1627613520,,,,,,,,,,,,
2021-07-30T13:53:00+08:00,1627624380,,,,,,,,,,,,
2021-07-30T16:53:00+08:00,1627635180,,,,,,,,,,,,
2021-10-28T08:00:00+08:00,1635379200,19.7,7.54,7.54,219.1,118.0,2.84,0.089,0.086,3.23,,,Ⅱ
2021-10-28T12:00:00+08:00,1635393600,20.1,7.57,7.67,225.7,99.9,2.58,0.076,0.077,3.24,,,Ⅱ
2021-10-28T16:00:00+08:00,1635408000,20.2,7.62,7.77,235.1,107.6,2.6,0.086,0.073,3.2,,,Ⅱ
2021-10-28T20:00:00+08:00,1635422400,20.0,7.74,8.01,261.6,127.4,2.96,0.106,0.093,2.72,,,Ⅱ
2021-10-29T00:00:00+08:00,1635436800,20.0,7.6,7.64,244.9,136.0,2.84,0.127,0.095,3.21,,,Ⅱ
2021-10-29T08:00:00+08:00,1635465600,19.7,7.58,7.66,222.7,115.8,2.48,0.088,0.08,3.06,,,Ⅱ
2021-10-29T09:52:00+08:00,1635472320,,,,,,,,,,,,
2021-11-05T04:00:00+08:00,1636056000,20.0,7.77,7.38,290.5,282.9,4.36,0.235,0.138,3.3,,,Ⅲ
2021-11-05T08:00:00+08:00,1636070400,20.0,7.64,6.92,310.0,204.5,4.1,0.331,0.14,3.38,,,Ⅲ
2021-11-05T12:00:00+08:00,1636084800,20.3,7.69,7.23,284.8,145.6,3.39,0.199,0.12,3.12,,,Ⅲ
2021-11-05T16:00:00+08:00,1636099200,20.4,7.61,7.51,275.9,126.6,3.2,0.109,0.088,3.11,,,Ⅱ
2021-11-05T20:00:00+08:00,1636113600,20.3,7.74,7.42,291.4,179.0,3.48,0.161,0.127,3.21,,,Ⅲ
2021-11-06T00:00:00+08:00,1636128000,20.3,7.71,7.51,303.0,150.9,3.46,0.126,0.105,3.19,,,Ⅲ
2021-11-06T04:00:00+08:00,1636142400,20.3,7.67,7.35,294.1,134.9,3.02,0.138,0.088,3.34,,,Ⅱ
2021-11-06T08:00:00+08:00,1636156800,20.3,7.64,7.28,286.3,160.5,3.51,0.14,0.076,3.27,,,Ⅱ
2021-11-06T12:00:00+08:00,1636171200,20.3,7.63,7.34,297.5,131.3,3.11,0.135,0.088,3.34,,,Ⅱ
2021-11-06T16:00:00+08:00,1636185600,20.4,7.67,7.27,306.0,172.9,3.65,0.152,0.096,3.46,,,Ⅱ
2021-11-06T20:00:00+08:00,1636200000,20.3,7.66,7.21,295.6,160.3,3.45,0.175,0.1,3.42,,,Ⅱ
2021-11-07T00:00:00+08:00,1636214400,20.4,7.5,6.49,331.1,138.1,3.77,0.385,0.119,3.47,,,Ⅲ
2021-11-07T04:00:00+08:00,1636228800,20.2,7.6,6.46,352.6,138.2,3.96,0.237,0.111,3.42,,,Ⅲ
2021-11-07T08:00:00+08:00,1636243200,20.2,7.56,6.62,315.8,153.8,3.75,0.182,0.117,3.48,,,Ⅲ
2021-11-07T12:00:00+08:00,1636257600,20.6,7.61,7.2,301.9,113.6,3.25,0.124,0.103,3.42,,,Ⅲ
2021-11-07T16:00:00+08:00,1636272000,19.6,7.62,7.53,275.1,119.3,3.01,0.114,0.09,3.42,,,Ⅱ
2021-11-07T20:00:00+08:00,1636286400,18.8,7.77,7.67,287.4,187.4,3.49,0.162,0.103,3.57,,,Ⅲ
2021-11-08T00:00:00+08:00,1636300800,18.2,7.73,7.52,292.6,160.3,3.35,0.155,0.122,3.52,,,Ⅲ
2021-11-08T04:00:00+08:00,1636315200,18.0,7.78,7.27,324.7,69.4,3.26,0.215,0.088,1.64,,,Ⅱ
2021-11-08T08:00:00+08:00,1636329600,17.2,7.78,7.5,320.8,98.3,3.26,0.178,0.087,1.86,,,Ⅱ
2021-11-08T12:00:00+08:00,1636344000,17.3,7.43,5.6,317.6,103.2,3.97,0.249,0.121,3.36,,,Ⅲ
2021-11-08T16:00:00+08:00,1636358400,17.2,7.63,7.6,277.6,91.6,2.87,0.103,0.076,3.11,,,Ⅱ
2021-11-08T20:00:00+08:00,1636372800,16.2,7.74,8.14,297.3,98.4,2.94,0.103,0.089,2.56,,,Ⅱ
2021-11-09T00:00:00+08:00,1636387200,15.8,7.82,8.28,300.9,92.0,2.94,0.099,0.07,2.11,,,Ⅱ
2021-11-09T04:00:00+08:00,1636401600,15.1,7.8,8.27,301.6,92.0,2.72,0.098,0.071,2.06,,,Ⅱ
2021-11-09T08:00:00+08:00,1636416000,15.4,7.79,8.28,297.6,88.8,2.67,0.095,0.071,2.25,,,Ⅱ
2021-11-09T12:00:00+08:00,1636430400,16.2,7.78,8.31,290.4,134.6,3.54,0.136,0.096,3.28,,,Ⅱ
2021-11-09T20:00:00+08:00,1636459200,15.6,7.78,8.19,322.2,117.2,3.29,0.178,0.095,2.66,,,Ⅱ
2021-11-10T00:00:00+08:00,1636473600,15.5,7.74,8.04,341.6,143.8,3.31,0.215,0.082,2.77,,,Ⅱ
2021-11-10T04:00:00+08:00,1636488000,15.6,7.67,7.64,367.3,156.5,3.8,0.31,0.106,3.07,,,Ⅲ
2021-11-10T08:00:00+08:00,1636502400,15.6,7.7,7.87,354.6,148.5,3.62,0.278,0.104,3.03,,,Ⅲ
2021-11-10T12:00:00+08:00,1636516800,16.2,7.67,7.61,404.5,207.4,4.5,0.404,0.12,3.01,,,Ⅲ
2021-11-10T16:00:00+08:00,1636531200,15.8,7.75,8.23,358.1,179.9,3.74,0.287,0.118,2.13,,,Ⅲ
2021-11-10T20:00:00+08:00,1636545600,15.4,7.72,7.9,352.3,140.6,3.59,0.305,0.112,1.8,,,Ⅲ
2021-11-11T00:00:00+08:00,1636560000,15.7,7.69,7.71,383.9,153.2,3.83,0.313,0.113,2.04,,,Ⅲ
