station_id,name,province,lon_gcj,lat_gcj,lon_wgs,lat_wgs,river_ref,hyriv_id,next_down,dis_av_cms,ord_stra,snap_dist_m,matched
taihu_001,三甲港,上海市,121.785769,31.193231,121.781434,31.195287,川杨河,40636807,40637096,332.69,6,52002.7,False
taihu_002,临江,上海市,121.194699,31.801399,121.190171,31.803291,黄浦江,40623116,0,0.56,2,13104.2,False
taihu_003,二团,上海市,121.754522,31.013867,121.750165,31.015999,大治河,40642580,40645451,1.24,2,50905.7,False
taihu_004,吴淞口,上海市,121.522058,31.392691,121.517691,31.394713,黄浦江,40630640,40629683,0.7,2,28387.6,False
taihu_005,太浦河桥,上海市,121.041476,31.023111,121.036968,31.025132,太浦河,40644715,40644845,8.79,4,48.0,True
taihu_006,急水港桥,上海市,120.917036,31.115509,120.912884,31.117775,急水港,40641649,40642726,1.17,2,353.9,True
taihu_007,斜塘口,上海市,121.12989,31.005464,121.125311,31.007445,园泄泾,40646746,40646895,10.23,4,259.6,True
taihu_008,明星路桥,上海市,121.571838,30.924535,121.567639,30.926892,面杖港,40649019,40647378,0.44,1,33752.2,False
taihu_009,明星路桥（撤销）,上海市,121.571838,30.924535,121.567639,30.926892,面杖港,40649019,40647378,0.44,1,33752.2,False
taihu_010,横潦泾,上海市,121.204222,30.949895,121.199783,30.952035,大泖港,40647377,40647378,19.47,4,170.0,True
taihu_011,汾湖大桥(界标),上海市,120.872697,31.032082,120.868543,31.034383,太浦河,40643876,40643160,0.3,1,2210.8,False
taihu_012,浙江路桥,上海市,121.476553,31.241434,121.472038,31.243379,苏州河,40636807,40637096,332.69,6,22161.7,False
taihu_013,淀峰,上海市,120.985569,31.088307,120.98125,31.09045,黄浦江,40642579,40642872,1.88,3,62.6,True
taihu_014,蕴川路桥,上海市,121.423992,31.40073,121.419338,31.402512,新练祁河,40630640,40629683,0.7,2,19028.0,False
taihu_015,钱桥,上海市,121.541336,30.872458,121.537074,30.874791,金汇港,40651669,40651352,0.52,1,29902.2,False
taihu_016,闵行西界,上海市,0.0,0.0,0.0,0.0,黄浦江,40618665,40616939,0.52,1,18048025.7,False
taihu_017,闵行西界(松浦大桥),上海市,121.312408,30.96988,121.307922,30.971979,黄浦江,40647377,40647378,19.47,4,9307.9,False
taihu_018,黄渡,上海市,121.225288,31.276424,121.220848,31.278415,苏州河,40636807,40637096,332.69,6,2432.0,False
taihu_019,清平镇大庙村（摇金）,四川省,104.95491,28.898659,104.952154,28.901956,南溪河,40653502,40653501,0.83,2,1389760.3,False
taihu_020,清平镇大庙村（摇金）（撤销）,四川省,104.95491,28.898659,104.952154,28.901956,南溪河,40653502,40653501,0.83,2,1389760.3,False
taihu_021,东村桥,安徽省,0.0,0.0,0.0,0.0,水阳江,40618665,40616939,0.52,1,18048025.7,False
taihu_022,殷桥,安徽省,117.2443,31.618256,117.23884,31.620245,梅溧河,40622964,40620063,2.06,2,158701.9,False
taihu_023,312国道桥,江苏省,120.640035,31.342268,120.63583,31.344405,望虞河,40633340,40632900,0.21,1,1484.6,True
taihu_024,东潘桥,江苏省,119.393936,33.187639,119.388371,33.18912,德胜河,40618507,40616823,2.11,2,150333.1,False
taihu_025,东潘桥（搬迁）,江苏省,0.0,0.0,0.0,0.0,德胜河,40618665,40616939,0.52,1,18048025.7,False
taihu_026,乌龟山南,江苏省,119.021234,31.620979,119.015947,31.622878,太湖,40623394,40623113,0.12,1,2562.6,False
taihu_027,九号桥,江苏省,0.0,0.0,0.0,0.0,澡港河,40618665,40616939,0.52,1,18048025.7,False
taihu_028,五牧,江苏省,120.154207,31.678267,120.149389,31.680086,京杭运河,40621869,40621515,0.22,1,2147.4,False
taihu_029,五里湖心,江苏省,118.897236,33.597258,118.89207,33.59889,太湖,40618665,40616939,0.52,1,194969.2,False
taihu_030,兰山嘴,江苏省,119.89146,31.211617,119.886814,31.213851,太湖,40638248,40638655,109.11,5,1157.2,True
