credit_code,name,has_permit_data,permit_status,primary_pollutant,major_pollutants
91320205A8062806XD,无锡市东北塘宏良染色厂,True,在业，许可注销,NH3N,NH3N/COD
91330502734506772N,湖州三友印染有限公司,True,在业(有许可数据),COD,COD/NH3N
913305027332233087,浙江大港印染有限公司,True,在业(有许可数据),COD,COD/NH3N
91330502147023485D,湖州金牛纺织印染实业有限公司,True,在业(有许可数据),COD,COD/NH3N
913305037639482897,湖州华欣印染有限公司,False,2025-11-06注销(宣告破产),,
91330521557545067M,浙江龙威印染有限公司,True,在业(有许可数据),COD,COD/NH3N
913305007519080792,浙江钱江纺织印染有限公司,True,在业(有许可数据),COD,COD/NH3N
91330502704448495M,湖州复兴纺织印染有限公司,True,在业(有许可数据),COD,COD/NH3N
913305006095842023,浙江华源应用新材料股份有限公司,True,在业(有许可数据),COD,COD
913305006095858382,漂莱特(中国)有限公司,True,在业(有许可数据),COD,COD/NH3N
91330521569388863L,英格瓷(浙江)锆业有限公司,True,在业(有许可数据),COD,COD
91330521MA29J05A6N,浙江拜克生物科技有限公司,True,在业(有许可数据),NH3N,NH3N/COD
91330500704459653Q,浙江拓普药业股份有限公司,True,在业(有许可数据),COD,COD/NH3N
913305007195378967,浙江浙北药业有限公司,True,在业(有许可数据),COD,COD/NH3N
91330521732436475P,德清县上峰纸业有限公司,True,在业(有许可数据),COD,COD/NH3N
913305217044594779,德清县东港纸业有限公司,False,存续，许可注销,,
913305211471190143,湖州市韶春纸业有限公司,True,在业(有许可数据),COD,COD/NH3N
913305211470844729,湖州新天纸业有限公司,True,在业(有许可数据),COD,COD/NH3N
913305001470538522,湖州市水务集团有限公司(碧浪污水处理厂),True,在业(有许可数据),COD,COD/TN/NH3N/TP
91330502770749069W,浙江湖州金洁水务股份有限公司,True,2021年12月6日更名为“浙江金洁环境股份有限公司”,COD,COD/TN/NH3N/TP
91330500766436502E,湖州中环水务有限责任公司,True,在业(有许可数据),COD,COD/TN/NH3N/TP
91330500786432381F,湖州诚信污水处理有限公司,True,在业(有许可数据),COD,COD/TN/NH3N/TP
913305036761790047,湖州南浔和孚污水处理有限公司,False,2022-05-09注销,,
913305006605864576,湖州双林水质净化有限公司,True,在业(有许可数据),COD,COD/TN/NH3N/TP
913202137827364339,爱恩邦德(无锡)技术有限公司,False,在业，许可注销,,
913202057558662409,无锡市永平热镀锌有限公司,True,在业(有许可数据),COD,COD
91320205725204983U,伟成(无锡)金属有限公司,True,在业(有许可数据),COD,COD
91320205MA22CLY012,无锡达美喷涂有限公司,True,在业(有许可数据),COD,COD
91320205735331898W,无锡市长宏漂染有限公司,False,在业，排污许可证有效期届满未延续,,
91320205713285982F,无锡苏纺纺织科技有限公司,True,在业(有许可数据),COD,COD
913202057624311499,无锡科捷化学有限公司,True,在业(有许可数据),COD,COD
913202056282865181,无锡先进化药化工有限公司,True,在业(有许可数据),COD,COD/TN/NH3N/TP
91320205789098198H,无锡中发水务投资有限公司(锡北污水处理厂),False,在业，许可注销,,
91320205MA24KU3Y2Q,无锡市锡山中荷水务有限公司,True,在业(有许可数据),COD,COD
