name,city,industry,credit_code,address,lon_wgs84,lat_wgs84,hyriv_id,next_down,main_riv,dis_av_cms,ord_stra,snap_dist_m,matched
浙江美欣达纺织印染科技有限公司,湖州市,dyeing,9133050074984474XK,浙江省湖州市吴兴区高新区高新路4299号,119.89317,30.984363,40647372,40647999,40633341,0.52,1,1576.0,False
湖州三友印染有限公司,湖州市,dyeing,91330502734506772N,浙江省湖州市织里经济开放区,120.250073,30.860016,40652755,40649303,40633341,4.19,3,735.2,True
浙江大港印染有限公司,湖州市,dyeing,913305027332233087,浙江省湖州市吴兴区高新区大港北路55号-2,120.267933,30.886839,40651991,40647857,40633341,1.08,1,2077.0,False
湖州金牛纺织印染实业有限公司,湖州市,dyeing,91330502147023485D,浙江省湖州市吴兴区高新区高新路5009号,119.89317,30.984363,40647372,40647999,40633341,0.52,1,1576.0,False
湖州华欣印染有限公司,湖州市,dyeing,913305037639482897,湖州市和孚镇新荻村上堡,120.156157,30.750398,40655223,40651822,40633341,67.19,5,1035.2,True
浙江龙威印染有限公司,湖州市,dyeing,91330521557545067M,浙江省湖州市德清县新市镇徐家南路88号,120.302224,30.616064,40660369,40661178,40633341,0.17,1,1249.2,True
浙江钱江纺织印染有限公司,湖州市,dyeing,913305007519080792,浙江省湖州市德清县新市镇工业园区,120.29637,30.630474,40658604,40656689,40633341,0.28,1,1540.0,False
湖州复兴纺织印染有限公司,湖州市,dyeing,91330502704448495M,浙江省湖州市吴兴区八里店镇后林村,120.221092,30.880959,40652755,40649303,40633341,4.19,3,1360.7,True
浙江华源颜料股份有限公司,湖州市,chemical,913305006095842023,浙江省德清县钟管镇山水渡,120.144693,30.621042,40661484,40658911,40633341,61.09,5,506.8,True
漂莱特(中国)有限公司,湖州市,chemical,913305006095858382,浙江省湖州市德清县乾龙经济开发区,120.067931,30.539092,40663911,40662684,40633341,60.14,5,1536.1,False
英格瓷(浙江)锆业有限公司,湖州市,chemical,91330521569388863L,浙江省湖州市德清县钟管镇龙山路156号,120.165389,30.635982,40660242,40658911,40633341,3.69,3,99.5,True
浙江拜克生物科技有限公司,湖州市,chemical,91330521MA29J05A6N,浙江省湖州市德清县钟管镇横塘桥路88号,120.192414,30.638999,40659235,40658603,40633341,0.34,1,767.5,True
浙江拓普药业股份有限公司,湖州市,pharma,91330500704459653Q,浙江省湖州市德清县钟管镇南湖南路88号,120.129919,30.644487,40661484,40658911,40633341,61.09,5,2342.4,False
浙江浙北药业有限公司,湖州市,pharma,913305007195378967,浙江省德清县乾元镇三里塘,120.100484,30.549462,40662355,40661484,40633341,60.66,5,246.5,True
德清县上峰纸业有限公司,湖州市,paper,91330521732436475P,浙江省湖州市德清县新安镇孙家桥村杨道兜,120.230575,30.555456,40662002,40661663,40633341,0.28,1,161.4,True
德清县东港纸业有限公司,湖州市,paper,913305217044594779,浙江省湖州市德清县禹越镇木桥头村葡萄斗22号102室,120.259093,30.524482,40662858,40662686,40633341,0.13,1,984.5,True
湖州市韶春纸业有限公司,湖州市,paper,913305211471190143,浙江省德清县新市镇韶村,120.242418,30.603004,40661329,40661328,40633341,1.83,3,1950.6,False
湖州新天纸业有限公司,湖州市,paper,913305211470844729,浙江省湖州市德清县钟管镇曲溪,120.142743,30.645305,40661484,40658911,40633341,61.09,5,1798.1,False
湖州市水务集团有限公司(市北污水处理厂),湖州市,wwtp,913305001470538522,"浙江省湖州市吴兴区杭长桥中路118号(分支机构,母公司代码)",120.080291,30.864029,40651349,40650359,40633341,0.35,1,1174.9,True
湖州市水务集团有限公司(碧浪污水处理厂),湖州市,wwtp,913305001470538522,"浙江省湖州市吴兴区杭长桥中路118号(分支机构,母公司代码)",120.080291,30.864029,40651349,40650359,40633341,0.35,1,1174.9,True
浙江湖州金洁水务股份有限公司,湖州市,wwtp,91330502770749069W,浙江省湖州市吴兴区织里镇旧馆东铡(318国道旁),120.274126,30.842743,40651991,40647857,40633341,1.08,1,1963.8,False
湖州中环水务有限责任公司,湖州市,wwtp,91330500766436502E,浙江省湖州市吴兴区318国道与南太湖大道东北侧,120.207546,30.835675,40653652,40651044,40633341,0.61,1,491.3,True
湖州诚信污水处理有限公司,湖州市,wwtp,91330500786432381F,浙江省湖州市吴兴区东林镇,120.061718,30.699539,40657481,40655981,40633341,15.82,4,328.4,True
湖州南浔和孚污水处理有限公司,湖州市,wwtp,913305036761790047,浙江省湖州市南浔区和孚镇,120.25091,30.769802,40654280,40653210,40633341,0.3,1,1199.4,True
湖州双林水质净化有限公司,湖州市,wwtp,913305006605864576,浙江省湖州市南浔双林跳家山村,120.326961,30.780776,40655982,40653211,40633341,3.17,3,1466.8,True
爱恩邦德(无锡)技术有限公司,无锡市,electroplating,913202137827364339,无锡市锡山经济技术开发区团结大道万全路30#R栋厂房,120.403586,31.623763,40625364,40624661,40614222,0.59,1,368.4,True
无锡市永平热镀锌有限公司,无锡市,electroplating,913202057558662409,无锡市锡山区东港镇东升村,120.496283,31.707736,40622382,40620722,40618236,0.27,1,1212.4,True
伟成(无锡)金属有限公司,无锡市,electroplating,91320205725204983U,无锡市锡山经济技术开发区联福路1245号,120.4953,31.624337,40625635,40625636,40633341,0.7,1,248.3,True
无锡达美喷涂有限公司,无锡市,electroplating,91320205MA22CLY012,无锡市锡山区羊尖镇工业园B区10栋,120.542047,31.624482,40623252,40620722,40618236,0.59,1,2830.5,False
无锡市长宏漂染有限公司,无锡市,dyeing,91320205735331898W,江苏省无锡市锡山区锡北镇张泾锡港西路102号,120.424097,31.658991,40622969,40621978,40614222,0.31,1,1892.3,False
无锡市东北塘宏良染色厂,无锡市,dyeing,,无锡市锡山区东北塘镇农坝村,120.358241,31.644463,40623251,40621977,40614222,0.35,1,2045.1,False
无锡苏纺纺织科技有限公司,无锡市,dyeing,91320205713285982F,江苏省无锡市锡山经济开发区合心路27号,120.382788,31.617088,40625781,40624661,40614222,1.25,2,230.8,True
