credit_code,enterprise_name,outlet_code,outlet_name,pollutant,pollutant_code,concentration_limit_raw,concentration_limit_value,annual_limit_t,year1,year2,year3,year4,year5,is_major
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,苯胺类,ANILINE,1.0mg/L,1.0,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,总磷（以P计）,TP,1.5mg/L,1.5,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,悬浮物,SS,100mg/L,100.0,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,总氮（以N计）,TN,30mg/L,30.0,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,可吸附有机卤化物,AOX,12mg/L,12.0,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,流量,FLOW,/,,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,硫化物,SULFIDE,0.5mg/L,0.5,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,色度,COLOR,80,80.0,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,氨氮（NH3-N）,NH3N,20mg/L,20.0,23.037,23.037,23.037,23.037,23.037,23.037,True
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,pH值,PH,6-9,,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,五日生化需氧量,BOD5,150mg/L,150.0,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,总锑,SB,0.1mg/L,0.1,,,,,,,False
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,化学需氧量,COD,500mg/L,500.0,575.922,575.922,575.922,575.922,575.922,575.922,True
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,二氧化氯,CLO2,0.5mg/L,0.5,,,,,,,False
