credit_code,enterprise_name,outlet_code,outlet_name,outlet_type,discharge_to,target_water,major_pollutants,remark
91320205A8062806XD,无锡市东北塘宏良染色厂,DW003,企业废水总排放口,,,,NH3N/COD,
91320205A8062806XD,无锡市东北塘宏良染色厂,DW004,车间废水排放口,,,,,
91330502734506772N,湖州三友印染有限公司,DW002,污水排放口1,,,,COD/NH3N/COD/NH3N,
913305027332233087,浙江大港印染有限公司,DW001,废水总排口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330502147023485D,湖州金牛纺织印染实业有限公司,DW001,污水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330521557545067M,浙江龙威印染有限公司,DW001,龙威污水处理站,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305007519080792,浙江钱江纺织印染有限公司,DW001,钱江阳光排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330502704448495M,湖州复兴纺织印染有限公司,DW001,总排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305006095842023,浙江华源应用新材料股份有限公司,DW001,废水总排口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305006095858382,漂莱特(中国)有限公司,DW001,废水总排口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
